,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.05,p_a=0.1
147,10000,0.25,1.0,2,250,real_weights,3,0.5,9960.2158203125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
138,10000,0.25,0.5,2,250,real_weights,1,0.5,6563.5888671875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
114,5000,0.5,0.25,2,250,real_weights,3,0.1,187.2445831298828,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
112,1000,0.25,1.0,2,250,real_weights,1,0.5,985.123779296875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
141,10000,0.25,0.25,2,250,real_weights,1,0.25,3496.264404296875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
142,10000,0.25,0.25,2,250,real_weights,1,0.5,3496.264404296875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
110,5000,0.5,0.5,2,250,real_weights,3,0.5,1448.1083984375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
144,10000,0.25,1.0,2,250,real_weights,3,0.1,9960.2158203125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
145,10000,0.25,1.0,2,250,real_weights,3,0.25,9960.2158203125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
109,5000,0.5,0.5,2,250,real_weights,3,0.25,1448.1083984375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
173,10000,0.0,1.0,2,250,real_weights,1,0.5,9998.3330078125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
93,5000,0.5,1.0,2,250,real_weights,1,0.5,4666.19921875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
123,5000,0.5,0.5,2,250,real_weights,50,0.25,1463.9066162109375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
176,10000,0.0,0.5,2,250,real_weights,1,0.25,6575.77880859375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
202,10000,0.0,0.5,2,250,real_weights,50,0.1,2910.804931640625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
203,10000,0.0,0.5,2,250,real_weights,50,0.25,2910.804931640625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
204,10000,0.0,0.5,2,250,real_weights,50,0.5,2910.804931640625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
80,5000,0.0,1.0,2,250,real_weights,50,0.5,4991.33154296875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
206,10000,0.0,0.25,2,250,real_weights,50,0.1,426.9084777832031,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
207,10000,0.0,0.25,2,250,real_weights,50,0.25,426.9084777832031,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
208,10000,0.0,0.25,2,250,real_weights,50,0.5,426.9084777832031,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
79,1000,0.25,0.5,2,250,real_weights,3,0.25,296.4816589355469,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
210,10000,0.5,1.0,2,250,real_weights,1,0.1,9369.529296875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
211,10000,0.5,1.0,2,250,real_weights,1,0.25,9369.529296875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
212,1000,0.25,0.5,2,250,real_weights,50,0.25,298.2305603027344,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
213,10000,0.5,1.0,2,250,real_weights,1,0.5,9369.529296875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
78,5000,0.0,1.0,2,250,real_weights,50,0.25,4991.33154296875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
216,10000,0.5,0.5,2,250,real_weights,1,0.25,6516.33935546875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
217,10000,0.5,0.5,2,250,real_weights,1,0.5,6516.33935546875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
77,5000,0.0,1.0,2,250,real_weights,50,0.1,4991.33154296875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
73,5000,0.0,0.25,2,250,real_weights,3,0.1,188.57383728027344,0.9999999999999998,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
220,10000,0.5,0.25,2,250,real_weights,1,0.25,3480.31884765625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
221,10000,0.5,0.25,2,250,real_weights,1,0.5,3480.31884765625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
71,5000,0.0,0.5,2,250,real_weights,3,0.5,1448.7056884765625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
70,5000,0.0,0.5,2,250,real_weights,3,0.25,1448.7056884765625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
201,1000,0.25,0.5,2,250,real_weights,50,0.1,298.2305603027344,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
82,5000,0.0,0.5,2,250,real_weights,50,0.1,1464.8770751953125,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
199,10000,0.0,1.0,2,250,real_weights,50,0.5,9990.7724609375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
186,10000,0.0,1.0,2,250,real_weights,3,0.5,9994.8525390625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
177,10000,0.0,0.5,2,250,real_weights,1,0.5,6575.77880859375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
92,5000,0.5,1.0,2,250,real_weights,1,0.25,4666.19921875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
179,1000,0.25,1.0,2,250,real_weights,50,0.5,986.1408081054688,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
91,5000,0.5,1.0,2,250,real_weights,1,0.1,4666.19921875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
181,10000,0.0,0.25,2,250,real_weights,1,0.25,3481.222412109375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
182,10000,0.0,0.25,2,250,real_weights,1,0.5,3481.222412109375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
90,1000,0.25,0.5,2,250,real_weights,3,0.5,296.4816589355469,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
184,10000,0.0,1.0,2,250,real_weights,3,0.1,9994.8525390625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
185,10000,0.0,1.0,2,250,real_weights,3,0.25,9994.8525390625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
88,5000,0.0,0.25,2,250,real_weights,50,0.5,195.59339904785156,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
198,10000,0.0,1.0,2,250,real_weights,50,0.25,9990.7724609375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
188,10000,0.0,0.5,2,250,real_weights,3,0.1,2879.00244140625,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
189,10000,0.0,0.5,2,250,real_weights,3,0.25,2879.00244140625,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
87,5000,0.0,0.25,2,250,real_weights,50,0.25,195.59339904785156,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
191,10000,0.0,0.5,2,250,real_weights,3,0.5,2879.00244140625,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
86,5000,0.0,0.25,2,250,real_weights,50,0.1,195.59339904785156,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
193,10000,0.0,0.25,2,250,real_weights,3,0.1,417.1308288574219,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
84,5000,0.0,0.5,2,250,real_weights,50,0.5,1464.8770751953125,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
83,5000,0.0,0.5,2,250,real_weights,50,0.25,1464.8770751953125,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
197,10000,0.0,1.0,2,250,real_weights,50,0.1,9990.7724609375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
162,10000,0.25,0.5,2,250,real_weights,50,0.1,2914.345458984375,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
