,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,snr_xz,sep,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.025,p_a=0.05,p_a=0.1
43,1000,0.0,1.0,2,250,random_uniform,3,0.0,0.0,False,374.0252990722656,-0.03757336452395719,0.9973695889375614,0.039820384979248,-0.007145702838897705,0.01,0.02,0.03,0.07,0.11
64,1000,0.25,1.0,2,250,rulsif,3,0.0,0.006944444444444444,False,230.6683807373047,0.10207519027745672,0.9905468325228063,0.04389213562011718,0.0009181499481201172,0.01,0.03,0.05,0.08,0.12
46,1000,0.1,1.0,2,250,NCE_Q,3,0.0,0.0011111111111111113,False,482.7381286621094,-0.008963610856684946,0.9765716729832254,0.047744555473327635,0.0038722753524780273,0.0,0.0,0.01,0.02,0.07
66,5000,0.25,1.0,2,250,real_weights,3,0.0,0.006944444444444444,False,2471.189697265625,0.9999999999961109,0.9738755877956479,0.048283519744872994,0.007704555988311768,0.01,0.03,0.04,0.07,0.09
77,1000,0.5,1.0,2,250,real_weights,3,0.0,0.027777777777777776,False,477.5023498535156,0.9999999999991661,0.9616009730358016,0.050359230041503916,-0.01181638240814209,0.0,0.0,0.03,0.06,0.13
35,5000,0.05,1.0,2,250,NCE_Q,3,0.0,0.00027777777777777783,False,2439.98388671875,0.05023012346467443,0.9606634739798628,0.050499010086059615,0.010738551616668701,0.0,0.0,0.01,0.02,0.06
9,1000,1.5,1.0,2,250,real_TRE_Q,3,0.0,0.25,False,373.8288269042969,0.04377103467857918,0.9556391469303211,0.051472789109355266,0.004969894886016846,0.0,0.010101010101010102,0.030303030303030304,0.06060606060606061,0.10101010101010101
8,1000,1.5,1.0,2,250,real_weights,3,0.0,0.25,False,283.7843933105469,0.9999999999998022,0.9471791766539698,0.05231531620025631,0.00455087423324585,0.0,0.01,0.04,0.04,0.09
85,5000,0.5,1.0,2,250,random_uniform,3,0.0,0.027777777777777776,False,1866.7694091796875,-0.02045403127816399,0.941345299894518,0.05301397800445562,-0.009421169757843018,0.0,0.0,0.0,0.03,0.11
41,10000,0.05,1.0,2,250,random_uniform,3,0.0,0.00027777777777777783,False,3764.156494140625,0.006161218391829956,0.928091184660723,0.05473906584460331,0.012873232364654541,0.0,0.010101010101010102,0.020202020202020204,0.04040404040404041,0.1111111111111111
79,1000,0.5,1.0,2,250,NCE_Q,3,0.0,0.027777777777777776,False,454.26031494140625,-0.06667404258284589,0.9090890771876299,0.056307396888732875,0.009341299533843994,0.0,0.01,0.04,0.07,0.09
0,1000,0.0,1.0,2,250,real_weights,3,0.0,0.0,False,499.30615234375,0.9999999999440965,0.8931397956456076,0.0577046012878418,0.01624751091003418,0.0,0.0,0.01,0.01,0.05
62,1000,0.25,1.0,2,250,NCE_Q,3,0.0,0.006944444444444444,False,482.3735656738281,0.00913581712811342,0.8594906636628057,0.0603592300415039,-0.018083840608596802,0.0,0.01,0.02,0.05,0.09
6,10000,1.0,1.0,2,250,random_uniform,3,0.0,0.1111111111111111,False,3777.4609375,0.005663477960112556,0.845421914861962,0.061694806272333313,0.009244143962860107,0.0,0.0,0.030303030303030304,0.06060606060606061,0.10101010101010101
78,1000,0.5,1.0,2,250,real_TRE_Q,3,0.0,0.027777777777777776,False,428.80047607421875,-0.04108625390005621,0.8424605616773405,0.06159673690795897,-0.005349308252334595,0.0,0.0,0.01,0.03,0.08
58,10000,0.1,1.0,2,250,random_uniform,3,0.0,0.0011111111111111113,False,3762.948974609375,0.016631463376410457,0.8369251300904811,0.06229968263645369,0.01541358232498169,0.0,0.0,0.010101010101010102,0.030303030303030304,0.06060606060606061
72,10000,0.25,1.0,2,250,real_TRE_Q,3,0.0,0.006944444444444444,False,4622.90380859375,-0.0031382817144930833,0.8334782251630728,0.06254161728752983,-0.013336986303329468,0.020202020202020204,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.1414141414141414
38,10000,0.05,1.0,2,250,real_weights,3,0.0,0.00027777777777777783,False,4994.751953125,0.9999999999422241,0.8273826751434246,0.06296496319048328,0.01404261589050293,0.010101010101010102,0.010101010101010102,0.020202020202020204,0.030303030303030304,0.0707070707070707
91,10000,0.5,1.0,2,250,random_uniform,3,0.0,0.027777777777777776,False,3753.871337890625,-0.007340203516940553,0.8149569363834479,0.06381177420567985,0.008155465126037598,0.010101010101010102,0.010101010101010102,0.04040404040404041,0.050505050505050504,0.1111111111111111
34,5000,0.05,1.0,2,250,real_TRE_Q,3,0.0,0.00027777777777777783,False,2248.417724609375,0.19901628074529085,0.8137475666368847,0.0635728597640991,-0.0011577308177947998,0.0,0.02,0.04,0.07,0.11
15,5000,1.5,1.0,2,250,real_TRE_Q,3,0.0,0.25,False,2022.7659912109375,0.007322619299494361,0.8125528968712094,0.06365264892578126,0.0016367435455322266,0.0,0.0,0.0,0.02,0.07
49,5000,0.1,1.0,2,250,real_weights,3,0.0,0.0011111111111111113,False,2491.652587890625,0.9999999999875869,0.802898580396439,0.06429143905639645,0.006946146488189697,0.01,0.02,0.03,0.08,0.14
24,10000,0.0,1.0,2,250,NCE_Q,3,0.0,0.0,False,4686.55810546875,0.5108370010561576,0.8022419031703418,0.06465862495730623,-0.02418389916419983,0.0,0.010101010101010102,0.010101010101010102,0.050505050505050504,0.08080808080808081
84,5000,0.5,1.0,2,250,NCE_Q,3,0.0,0.027777777777777776,False,2420.708984375,-0.03457629812770823,0.8007672392511176,0.06443109989166262,-0.01704588532447815,0.0,0.03,0.03,0.05,0.14
67,5000,0.25,1.0,2,250,real_TRE_Q,3,0.0,0.006944444444444444,False,2312.185302734375,0.04840111056401413,0.7974020757859781,0.0646506690979004,0.00678640604019165,0.0,0.0,0.01,0.05,0.09
16,5000,1.5,1.0,2,250,NCE_Q,3,0.0,0.25,False,2369.1611328125,0.009160808828484305,0.7847675149830711,0.06678637027740475,0.020878195762634277,0.0,0.0,0.02,0.06,0.13
3,10000,1.0,1.0,2,250,real_weights,3,0.0,0.1111111111111111,False,3647.448974609375,0.9999999999997663,0.7751019437177282,0.06641265117760864,0.01642167568206787,0.0,0.010101010101010102,0.04040404040404041,0.050505050505050504,0.10101010101010101
83,5000,0.5,1.0,2,250,real_TRE_Q,3,0.0,0.027777777777777776,False,2217.890869140625,-0.0033608188659544447,0.74662034259793,0.06858287811279296,-0.015848308801651,0.0,0.0,0.0,0.02,0.09
99,5000,0.75,1.0,2,250,real_weights,3,0.0,0.0625,False,2167.51171875,0.9999999999993875,0.7320369019933034,0.06928142070770266,-0.0037125349044799805,0.0,0.01,0.02,0.05,0.11
33,5000,0.05,1.0,2,250,real_weights,3,0.0,0.00027777777777777783,False,2495.8681640625,0.9999999999749886,0.7278951497623107,0.06948107242584228,0.01772451400756836,0.0,0.02,0.05,0.08,0.11
61,1000,0.25,1.0,2,250,real_TRE_Q,3,0.0,0.006944444444444444,False,432.483642578125,-0.12776691695397596,0.7155460998496762,0.07007978916168213,0.001876235008239746,0.0,0.03,0.08,0.11,0.15
