,npi_school_closing,npi_workplace_closing,npi_cancel_public_events,npi_gatherings_restrictions,npi_close_public_transport,npi_stay_at_home,npi_internal_movement_restrictions,npi_international_travel_controls,npi_income_support,npi_debt_relief,npi_fiscal_measures,npi_international_support,npi_public_information,npi_testing_policy,npi_contact_tracing,npi_healthcare_investment,npi_vaccine_investment,npi_masks,cases_total,cases_new,deaths_total,deaths_new,cases_total_per_million,cases_new_per_million,deaths_total_per_million,deaths_new_per_million,tests_total,tests_new,tests_total_per_thousand,tests_new_per_thousand,stats_population,stats_population_density,stats_median_age,stats_gdp_per_capita,cases_days_since_first,deaths_days_since_first,mobility_retail_recreation,mobility_grocery_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,mobility_travel_driving,mobility_travel_transit,mobility_travel_walking,stats_hospital_beds_per_1000,stats_smoking,stats_population_urban,stats_population_school_age,deaths_excess_daily_avg,weather_precipitation_mean,weather_humidity_mean,weather_sw_radiation_mean,weather_temperature_mean,weather_temperature_min,weather_temperature_max,weather_wind_speed_mean
766,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,3.0,545016.0,150.0,7854.0,3.0,80514.676,22.159,1160.264,0.443,2051069.8,6220.4,294.6148,0.8962,6769151.0,594.561,31.1,13367.565,496.0,478.0,11.0,64.0,23.0,13.0,-26.0,-8.0,52.498000000000005,93.52600000000001,48.67999999999999,2.73,42.6,2424425.0,730579.2,-14.462857142857143,2.685724756310476e-05,0.010027172645754378,208.06009413027095,14.650198850434174,12.931739168281117,15.953464831753019,7.829726268053245
767,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,3.0,624743.0,513.0,8333.0,8.0,92292.667,75.785,1231.026,1.182,2051069.8,6220.4,294.6148,0.8962,6769151.0,594.561,31.1,13367.565,588.0,570.0,5.0,57.0,13.0,7.0,-22.0,-9.0,52.498000000000005,116.38400000000001,48.67999999999999,2.73,42.6,2424425.0,42591.4,-14.462857142857143,3.466509947735209e-05,0.00939187514294634,168.36040564738434,14.372984299924202,12.979556677947949,16.015032854990487,4.452116780424939
768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2282.8,12.8,20.6,0.0,230.767,1.0444,3.5815999999999995,0.0,123373.2,5111.8,40.0608,0.45899999999999996,7771824.8,189.7558,18.86,1336.5314000000003,236.6,201.4,11.0,35.8,-9.8,0.2,-9.8,7.2,120.776,81.41199999999999,123.636,0.8,8.4,1517235.0,772918.0,4.240000000000002,2.883858667582538e-06,0.0167822788978587,214.04236866983544,27.17476861918044,23.684853942463885,30.523927038888864,2.3658035352912026
769,3.0,2.0,2.0,4.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,6.0,3.0,82.8,0.2,1.158,0.579,15.984,0.0386,939220.2,3069.6,183.348,0.5966,5180208.0,49.127,19.2,752.788,15.0,-4.0,-37.0,-22.0,-38.0,-52.8,-30.2,15.2,95.104,49.444,73.07000000000001,0.8,8.4,1517235.0,772918.0,-23.439999999999998,4.412494266081704e-05,0.0201503923396771,220.21983040266804,28.151132907643017,26.724972759741824,29.91704902979201,2.0920795507981853
770,2.0,2.0,2.0,4.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,780.0,10.0,36.0,0.0,150.573,1.93,6.95,0.0,939220.2,3069.6,183.348,0.5966,5180208.0,49.127,19.2,752.788,106.0,87.0,-37.0,-22.0,-38.0,-52.8,-30.2,15.2,95.104,49.444,73.07000000000001,0.8,8.4,1517235.0,772918.0,-23.439999999999998,6.742156753923467e-05,0.0171136512179417,189.48751729330684,25.772846597476484,24.232863110805912,27.347919512501345,3.0148410555656167
771,2.0,2.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,3.0,1343.0,4.0,82.0,0.0,259.256,0.772,15.829,0.0,939220.2,3553.2,183.348,0.6938,5180208.0,49.127,19.2,752.788,198.0,179.0,-21.8,-7.4,-17.0,-45.8,-31.6,12.4,95.104,49.444,73.07000000000001,0.8,8.4,1517235.0,772918.0,-23.439999999999998,1.7176923743765947e-05,0.00990788288993316,213.2436512591772,14.960313520233976,13.115020113105334,16.406589450283292,7.4898825180532445
772,0.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1800.0,0.0,83.0,0.0,347.476,0.0,16.023,0.0,1392800.6,4376.6,271.893,0.8545999999999999,5180208.0,49.127,19.2,752.788,290.0,271.0,-2.4,2.4,-6.8,-34.0,-14.6,6.4,115.476,60.029999999999994,88.172,0.8,8.4,1517235.0,772918.0,-23.439999999999998,4.557391415425845e-06,0.00780237386969628,173.88577407680827,11.302340846417437,8.238216116322098,14.500198439175994,3.457534948023107
773,0.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,3.0,2053.0,0.0,85.0,0.0,396.316,0.0,16.409,0.0,1392800.6,4376.6,271.893,0.8545999999999999,5180208.0,49.127,19.2,752.788,380.0,361.0,-2.4,2.4,-6.8,-34.0,-14.6,6.4,115.476,60.029999999999994,88.172,0.8,8.4,1517235.0,772918.0,-23.439999999999998,1.6045029054354235e-05,0.00982839837404706,199.22222387009745,14.951949067800532,12.573917781480926,16.869499781767118,6.430664837660314
774,1.0,1.0,2.0,3.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,3.0,4093.0,193.0,128.0,1.0,790.123,37.257,24.709,0.193,1392800.6,4376.6,271.893,0.8545999999999999,5180208.0,49.127,19.2,752.788,471.0,452.0,-2.4,2.4,-6.8,-34.0,-14.6,6.4,115.476,60.03000000000001,88.172,0.8,8.4,1517235.0,772918.0,-23.439999999999998,1.5886713057697313e-05,0.0066677902796327595,170.6433691297305,6.6727865788186,3.952161840686125,8.598028167995654,6.996550674112589
775,1.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0,5799.0,0.0,286.0,0.0,1119.453,0.0,55.21,0.0,1988524.2,3695.8,388.1862,0.7216,5180208.0,49.127,19.2,752.788,563.0,544.0,-1.6,7.2,-2.4,-37.8,-15.8,7.6,111.934,55.802,89.078,0.8,8.4,1517235.0,772918.0,-23.439999999999998,1.7176923743765947e-05,0.009907882889933158,213.2436512591772,14.960313520233976,13.115020113105336,16.40658945028329,7.4898825180532445
