,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.05,p_a=0.1
212,1000,0.5,1.0,2,250,random_uniform,3,0.0,376.1041259765625,-0.09354885502337157,0.000687735436422453,0.19737056732177738,-0.11617529392242432,0.03,0.05,0.08,0.17
255,1000,0.5,1.0,2,250,ones,1,0.0,500.0,,0.0005606553185673767,0.19988052368164066,-0.10733067989349365,0.0,0.02,0.1,0.19
247,1000,0.5,0.75,2,250,random_uniform,15,0.0,367.8868103027344,0.02064840247929823,0.00010449411785251627,0.21940237998962397,-0.12000006437301636,0.02,0.08,0.15,0.25
16,5000,0.5,0.5,2,250,random_uniform,1,0.1,1865.908935546875,-0.008510125586829271,3.930669819174477e-06,0.25306775093078615,-0.15262946486473083,0.03,0.09,0.15,0.23
79,1000,0.5,0.5,2,250,ones,1,0.1,500.0,,3.22824104478391e-06,0.2549402618408203,-0.14573708176612854,0.02,0.04,0.18,0.24
42,5000,0.5,0.5,2,250,random_uniform,3,0.1,1871.3306884765625,-0.0042833630602351035,2.750111730888544e-06,0.2564542245864868,-0.18219125270843506,0.06,0.08,0.15,0.29
221,1000,0.5,0.75,2,250,ones,3,0.0,500.0,,2.537359169718924e-06,0.25721114635467535,-0.1570916473865509,0.02,0.02,0.12,0.19
40,5000,0.5,0.75,2,250,random_uniform,3,0.0,1892.7574462890625,-0.013047009183463411,8.18344627540182e-07,0.2676095795631409,-0.15844622254371643,0.0,0.06,0.16,0.28
224,1000,0.5,0.5,2,250,ones,3,0.1,500.0,,2.53960558919323e-07,0.27792830228805543,-0.15099602937698364,0.0,0.03,0.08,0.17
147,10000,0.5,0.75,2,250,random_uniform,3,0.0,3767.38818359375,-0.014449338222157146,3.2672622844795416e-09,0.31314740180969236,-0.17155379056930542,0.03,0.06,0.12,0.23
248,1000,0.5,0.75,2,250,ones,15,0.0,500.0,,2.818213598247015e-10,0.33119524002075196,-0.2111952304840088,0.05,0.07,0.17,0.31
122,10000,0.5,0.5,2,250,random_uniform,1,0.1,3750.677490234375,0.016394708634479567,1.451951069189607e-10,0.335896430015564,-0.2230677306652069,0.04,0.08,0.25,0.35
43,5000,0.5,0.5,2,250,ones,3,0.1,2500.0,,4.125063552966432e-11,0.34462153911590576,-0.22836658358573914,0.04,0.1,0.27,0.36
41,5000,0.5,0.75,2,250,ones,3,0.0,2500.0,,1.2515020212251812e-11,0.35266937732696535,-0.22099605202674866,0.05,0.11,0.28,0.38
149,10000,0.5,0.5,2,250,random_uniform,3,0.1,3766.068603515625,-0.026757591486455307,3.9716947774038223e-13,0.37486061096191403,-0.21039840579032898,0.03,0.06,0.15,0.36
266,1000,0.5,0.75,2,250,random_uniform,1,0.1,371.90716552734375,-0.022844122674530377,1.4954434719274948e-13,0.3808765172958374,-0.23482075333595276,0.09,0.12,0.29,0.35
17,5000,0.5,0.5,2,250,ones,1,0.1,2500.0,,4.63536662791512e-15,0.40143431186676026,-0.2706374526023865,0.02,0.11,0.29,0.41
273,1000,0.5,0.75,2,250,random_uniform,50,0.0,383.9435729980469,-0.06226853016968515,7.295390650934046e-18,0.4366534113883972,-0.26418331265449524,0.06,0.11,0.29,0.46
148,10000,0.5,0.75,2,250,ones,3,0.0,5000.0,,6.256836028970817e-18,0.43745021820068364,-0.2774103879928589,0.09,0.14,0.28,0.4
150,10000,0.5,0.5,2,250,ones,3,0.1,5000.0,,4.633142811083302e-18,0.43900400638580317,-0.2800000309944153,0.07,0.12,0.33,0.45
31,5000,0.5,1.0,2,250,random_uniform,3,0.0,1874.697265625,-0.03700343898784696,3.674703235158687e-20,0.4631474018096924,-0.2908765375614166,0.08,0.16,0.36,0.46
123,10000,0.5,0.5,2,250,ones,1,0.1,5000.0,,3.68928939215595e-24,0.5051793336868287,-0.32836656272411346,0.08,0.18,0.35,0.54
274,1000,0.5,0.75,2,250,ones,50,0.0,500.0,,5.726027722564314e-25,0.5131474018096924,-0.315816730260849,0.09,0.18,0.39,0.55
66,5000,0.5,0.75,2,250,random_uniform,15,0.0,1881.9102783203125,0.030957607354984547,2.0999787589203116e-26,0.5268924236297607,-0.3269721418619156,0.08,0.2,0.43,0.52
