,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,snr_xz,sep,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.025,p_a=0.05,p_a=0.1
12,5000,0.05,1.0,2,250,NCE_Q,1,0.0,0.0006250000000000001,False,2457.914306640625,-0.1975647923923687,0.9939695322476916,0.042315435409545854,0.0027944445610046387,0.0,0.0,0.03,0.05,0.11
8,1000,0.05,1.0,2,250,random_uniform,1,0.0,0.0006250000000000001,False,364.9956970214844,0.043595401763445556,0.7955596140544838,0.06477041244506831,0.017245471477508545,0.0,0.0,0.02,0.05,0.07
13,5000,0.05,1.0,2,250,random_uniform,1,0.0,0.0006250000000000001,False,1846.5623779296875,0.00798774497316645,0.6457057607044362,0.07357285976409911,0.0009182095527648926,0.01,0.03,0.03,0.05,0.11
1,1000,0.05,1.0,2,250,real_TRE_Q,1,0.0,0.0006250000000000001,False,413.6118469238281,0.0506518900930541,0.642219626130568,0.07375247478485107,0.0294610857963562,0.0,0.0,0.0,0.0,0.05
10,5000,0.05,1.0,2,250,real_weights,1,0.0,0.0006250000000000001,False,2498.260986328125,0.9999999999688758,0.6101901339541609,0.07542912006378177,-0.025788456201553345,0.0,0.02,0.02,0.05,0.11
4,10000,0.05,1.0,2,250,NCE_Q,1,0.0,0.0006250000000000001,False,4905.3037109375,-0.04900078653895897,0.5546416829387327,0.07846301555633545,-0.02387222647666931,0.01,0.04,0.05,0.06,0.15
3,10000,0.05,1.0,2,250,real_TRE_Q,1,0.0,0.0006250000000000001,False,4823.14501953125,-0.22591484163973868,0.4936537867223453,0.08201595783233642,0.0006387233734130859,0.04,0.09,0.09,0.1,0.14
5,10000,0.05,1.0,2,250,random_uniform,1,0.0,0.0006250000000000001,False,3770.608154296875,-0.0018435389448429157,0.48838967766890595,0.08233535289764404,-0.02159687876701355,0.01,0.02,0.04,0.06,0.13
9,1000,0.05,1.0,2,250,rulsif,1,0.0,0.0006250000000000001,False,445.159423828125,0.6258860234082702,0.3350563645475879,0.09287419795989993,0.03261476755142212,0.0,0.01,0.01,0.03,0.05
2,10000,0.05,1.0,2,250,real_weights,1,0.0,0.0006250000000000001,False,4996.6328125,0.9999999999894438,0.31522703171407673,0.09447105407714845,-0.023912161588668823,0.0,0.02,0.05,0.09,0.16
14,5000,0.05,1.0,2,250,rulsif,1,0.0,0.0006250000000000001,False,2245.106689453125,-0.060161243103508205,0.20519424405865824,0.10502993583679199,-0.03612774610519409,0.0,0.0,0.02,0.04,0.11
11,5000,0.05,1.0,2,250,real_TRE_Q,1,0.0,0.0006250000000000001,False,2169.28173828125,-0.019679125293005247,0.08953498447344213,0.12289423465728755,-0.06027945876121521,0.05,0.06,0.09,0.11,0.16
0,1000,0.05,1.0,2,250,real_weights,1,0.0,0.0006250000000000001,False,499.3838195800781,0.9999999999942444,0.07948779691179358,0.12524950504302979,0.06255489587783813,0.0,0.01,0.01,0.04,0.05
6,10000,0.05,1.0,2,250,rulsif,1,0.0,0.0006250000000000001,False,4729.44775390625,0.3626215362444995,0.007758461147040753,0.16463075160980223,-0.07736527919769287,0.0,0.04,0.09,0.1,0.15
7,1000,0.05,1.0,2,250,NCE_Q,1,0.0,0.0006250000000000001,False,483.26153564453125,0.1703331954738104,0.0031734265257330726,0.1783100101682875,0.09549587965011597,0.0,0.0,0.0,0.0,0.0707070707070707
