,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,snr_xz,sep,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.025,p_a=0.05,p_a=0.1
0,1000,0.5,1.0,2,250,real_weights,1,0.0,0.0625,False,475.9680480957031,0.9999999999999759,0.848869504986682,0.06113768100738526,0.00027948617935180664,0.0,0.01,0.01,0.06,0.1
2,1000,0.5,1.0,2,250,real_weights,1,0.02,0.0625,False,475.9680480957031,0.9999999999999759,0.007696262758184615,0.16475049495697025,-0.09768468141555786,0.0,0.02,0.05,0.11,0.19
1,1000,0.5,1.0,2,250,real_TRE_Q,1,0.0,0.0625,False,435.0575256347656,0.11779322673049203,0.001185117949113044,0.19051892757415773,-0.08439120650291443,0.02,0.04,0.12,0.17,0.26
7,1000,0.5,1.0,2,250,real_weights,1,0.03,0.0625,False,475.9680480957031,0.9999999999999759,7.541884497735334e-07,0.2683432722091675,-0.13548904657363892,0.02,0.09,0.17,0.21,0.34
6,1000,0.5,1.0,2,250,rulsif,1,0.02,0.0625,False,428.6042785644531,0.2687176202854193,7.245632995659784e-07,0.26870262145996093,-0.1507784128189087,0.04,0.07,0.14,0.19,0.29
5,1000,0.5,1.0,2,250,random_uniform,1,0.02,0.0625,False,381.0525207519531,0.00278363110200582,1.897272932040841e-20,0.46632731437683106,-0.28546905517578125,0.09,0.21,0.28,0.37,0.52
8,1000,0.5,1.0,2,250,random_uniform,1,0.03,0.0625,False,372.4587707519531,-0.006809797742287769,1.753311217651724e-23,0.49838322639465327,-0.3029541075229645,0.14,0.33,0.43,0.48,0.58
3,1000,0.5,1.0,2,250,real_TRE_Q,1,0.02,0.0625,False,485.0395202636719,-0.7118177268490544,1.6961060896914986e-25,0.5182634830474854,-0.3186028152704239,0.17,0.27,0.36,0.47,0.59
4,1000,0.5,1.0,2,250,NCE_Q,1,0.02,0.0625,False,488.7773132324219,-0.20897329433424117,3.8288044498210473e-26,0.5244310998916626,-0.31425149738788605,0.13,0.25,0.38,0.47,0.56
