,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,snr_xz,sep,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.025,p_a=0.05,p_a=0.1
53,5000,0.05,1.0,2,250,rulsif,2,0.0,0.0006250000000000001,False,2201.693603515625,0.297585373324751,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
142,10000,0.05,1.0,2,250,rulsif,2,0.0,0.0006250000000000001,False,4398.818359375,0.06861271593222917,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
414,5000,0.05,1.0,2,250,rulsif,2,0.003,0.0006250000000000001,False,2207.642333984375,0.24361574679526796,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
413,5000,0.05,1.0,2,250,rulsif,2,0.003,0.0006250000000000001,True,0.0,0.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
167,5000,0.05,1.0,2,250,random_uniform,15,0.004,0.00014648437500000008,True,1898.6622314453125,0.0268116032682379,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
168,5000,0.05,1.0,2,250,random_uniform,15,0.004,0.00014648437500000008,False,1873.331787109375,0.0054973681120494946,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
141,5000,0.05,1.0,2,250,random_uniform,15,0.003,0.00014648437500000008,False,1892.8951416015625,0.006399169007472972,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
176,10000,0.05,1.0,2,250,random_uniform,15,0.004,0.00014648437500000008,True,3728.82080078125,0.008939298327111527,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
10,5000,0.05,1.0,2,250,rulsif,2,0.004,0.0006250000000000001,True,2212.45947265625,0.2630220219894106,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
11,5000,0.05,1.0,2,250,rulsif,2,0.004,0.0006250000000000001,False,2144.53125,0.23197124392587795,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
60,5000,0.05,1.0,2,250,random_uniform,15,0.0,0.00014648437500000008,True,1859.67333984375,-0.03862442266137549,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
369,10000,0.05,1.0,2,250,rulsif,2,0.001,0.0006250000000000001,True,4429.2001953125,-0.039197042916620815,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
178,10000,0.05,1.0,2,250,rulsif,15,0.004,0.00014648437500000008,True,143.29067993164062,0.002385836069118403,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
