,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,snr_xz,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.05,p_a=0.1
74,1000,0.01,0.75,2,250,real_weights,15,0.0,7.890625000000002e-06,92.58197021484375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
99,10000,0.1,0.75,2,250,real_weights,3,0.0,0.0011222222222222224,914.0463256835938,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
30,1000,0.0,1.0,2,250,real_weights,1,0.0,0.0,443.7939147949219,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
48,1000,0.0,0.75,2,250,real_weights,3,0.0,0.0,93.45077514648438,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
46,1000,0.0,0.5,2,250,real_weights,3,0.0,0.0,67.02273559570312,0.9999999999999998,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
44,1000,0.1,1.0,2,250,real_weights,1,0.0,0.0025000000000000005,436.4147644042969,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
41,1000,0.1,0.75,2,250,real_weights,1,0.0,0.0025000000000000005,439.8133239746094,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
39,1000,0.1,0.5,2,250,real_weights,1,0.0,0.0025000000000000005,405.041259765625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
37,1000,0.01,1.0,2,250,real_weights,1,0.0,2.5e-05,432.9900207519531,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
35,1000,0.01,0.75,2,250,real_weights,1,0.0,2.5e-05,445.3833923339844,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
33,1000,0.01,0.5,2,250,real_weights,1,0.0,2.5e-05,422.8883361816406,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
31,10000,0.1,0.75,2,250,real_weights,1,0.0,0.0025000000000000005,4489.89306640625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
28,1000,0.0,0.75,2,250,real_weights,1,0.0,0.0,451.9655456542969,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
52,1000,0.01,0.5,2,250,real_weights,3,0.0,1.1222222222222222e-05,67.87635803222656,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
26,1000,0.0,0.5,2,250,real_weights,1,0.0,0.0,419.58538818359375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
23,10000,0.1,0.5,2,250,real_weights,1,0.0,0.0025000000000000005,4166.470703125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
22,5000,0.1,1.0,2,250,real_weights,15,0.0,0.0007890625000000004,270.90533447265625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
20,5000,0.1,0.75,2,250,real_weights,15,0.0,0.0007890625000000004,258.2784423828125,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
18,5000,0.1,0.5,2,250,real_weights,15,0.0,0.0007890625000000004,271.39886474609375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
11,10000,0.01,1.0,2,250,real_weights,1,0.0,2.5e-05,4556.42919921875,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
8,5000,0.1,0.75,2,250,real_weights,3,0.0,0.0011222222222222224,430.5091857910156,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
6,5000,0.1,0.5,2,250,real_weights,3,0.0,0.0011222222222222224,350.0180358886719,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
4,5000,0.01,1.0,2,250,real_weights,3,0.0,1.1222222222222222e-05,452.77978515625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
50,1000,0.0,1.0,2,250,real_weights,3,0.0,0.0,96.77569580078125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
53,10000,0.1,1.0,2,250,real_weights,1,0.0,0.0025000000000000005,4415.01806640625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
97,10000,0.1,0.5,2,250,real_weights,3,0.0,0.0011222222222222224,734.780029296875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
77,1000,0.01,1.0,2,250,real_weights,15,0.0,7.890625000000002e-06,96.36201477050781,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
95,10000,0.0,0.75,2,250,real_weights,1,0.0,0.0,4620.072265625,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
94,10000,0.01,1.0,2,250,real_weights,3,0.0,1.1222222222222222e-05,943.372802734375,0.9999999999999998,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
92,10000,0.01,0.75,2,250,real_weights,3,0.0,1.1222222222222222e-05,974.9403076171875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
90,10000,0.01,0.5,2,250,real_weights,3,0.0,1.1222222222222222e-05,774.8643188476562,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
88,10000,0.0,1.0,2,250,real_weights,3,0.0,0.0,960.9949951171875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
86,10000,0.0,0.75,2,250,real_weights,3,0.0,0.0,984.9013671875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
83,1000,0.1,1.0,2,250,real_weights,15,0.0,0.0007890625000000004,46.34156799316406,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
81,1000,0.1,0.75,2,250,real_weights,15,0.0,0.0007890625000000004,50.216468811035156,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
79,1000,0.1,0.5,2,250,real_weights,15,0.0,0.0007890625000000004,55.5413818359375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
75,10000,0.0,0.5,2,250,real_weights,3,0.0,0.0,765.9725952148438,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
55,1000,0.01,0.75,2,250,real_weights,3,0.0,1.1222222222222222e-05,95.21717071533203,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
1,10000,0.0,0.5,2,250,real_weights,1,0.0,0.0,4271.4736328125,0.9999999999999998,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
72,1000,0.01,0.5,2,250,real_weights,15,0.0,7.890625000000002e-06,70.81269073486328,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
70,1000,0.0,1.0,2,250,real_weights,15,0.0,0.0,96.77569580078125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
68,1000,0.0,0.75,2,250,real_weights,15,0.0,0.0,93.45077514648438,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
66,1000,0.0,0.5,2,250,real_weights,15,0.0,0.0,67.02273559570312,0.9999999999999998,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
63,1000,0.1,1.0,2,250,real_weights,3,0.0,0.0011222222222222224,92.6036605834961,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
61,1000,0.1,0.75,2,250,real_weights,3,0.0,0.0011222222222222224,81.47381591796875,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
59,1000,0.1,0.5,2,250,real_weights,3,0.0,0.0011222222222222224,69.74858856201172,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
57,1000,0.01,1.0,2,250,real_weights,3,0.0,1.1222222222222222e-05,95.66102600097656,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
147,5000,0.01,0.75,2,250,real_weights,3,0.0,1.1222222222222222e-05,472.7289123535156,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
