"n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1000,0.167369721585694,0.0756799192362259,0.39849042542029,0.196931314825666,0.891751866262747,0.607887971836592,0.732373237400576,0.155191442192258,0.787510713200255,0.387982793395883,0.220853277818669,0.296382027605725,0.818671171989311,0.704337001881742,0.463694061746208,0.451756617263097,0.140786349484634,0.606330299435117,0.680421850943969,0.833614670091293,0.679018228088193,0.313916592656261,0.267952299562857,0.763896153846546,0.213792918001603,0.485069224926981,0.91082082481871,0.272736587976642,0.0290993655085974,0.680545683970664,0.599289728498885,0.243817480889157,0.264294196663245,0.422170668038845,0.936191491845988,0.103273044787902,0.406706459140588,0.632653354375502,0.799915941379427,0.787814140522217,0.339036069637816,0.953656379941814,0.574709854198034,0.536091740532993,0.334925462614983,0.769766574386057,0.529003969603276,0.910467111629222,0.0434992232918169,0.649245695310292,0.174042675460333,0.596539122617171,0.597534357628977,0.943195156144104,0.988027830109195,0.676137866515449,0.539570173168796,0.140836040253845,0.556101988485524,0.755290578956463,0.187467212935818,0.123048981660737,0.330746952393039,0.693157065199189,0.90028410080135,0.729446072917868,0.284168170606563,0.734799677917594,0.56091999974235,0.0896356551235937,0.221543895570656,0.645756910428348,0.633481910230398,0.0530003493245581,0.769299012567817,0.974207121628851,0.74108955264882,0.361872040198598,0.601341981380602,0.0156777544610023,0.551356227779948,0.757324513983173,0.433658882388203,0.913503790533281,0.105560257901286,0.132274094257751,0.151293207892884,0.362416325356335,0.942549491843716,0.0844962215608809,0.10866467591538,0.664998102004056,0.339408245313118,0.414510223899326,0.560837305172567,0.704435439980282,0.84724784146097,0.252016391147427,0.952351695465761,0.567304663322897
5000,0.500723233297618,0.0331319188007476,0.122106816069661,0.187142003026547,0.892019098211831,0.315557344539227,0.792592351269637,0.171807164636046,0.942512252012593,0.419323960653943,0.882535318008791,0.252439758219249,0.49351380734303,0.736904627754493,0.292127967035059,0.706297218321498,0.0183342295298358,0.820913571245119,0.907696884504232,0.202082618660786,0.176542579199166,0.683054733957751,0.0448688946839813,0.0521975189384035,0.70298995451156,0.282485543131364,0.916472877876598,0.933113123773301,0.133318359671311,0.105206505183905,0.717237000721075,0.645395159664136,0.622999010872877,0.162687397580054,0.267931758213207,0.31677601673768,0.343324569151421,0.367579009081002,0.734748498337757,0.289109058035787,0.270554690930018,0.313323726530246,0.466988977323522,0.963328492594943,0.860422991701703,0.254042163313752,0.362931412166502,0.695503923567829,0.451773151274015,0.17416995191603,0.43854882568103,0.555668648580439,0.162228419836725,0.676243831794575,0.734559894064826,0.610876938724977,0.913074366466783,0.398914100828834,0.170830317308535,0.0613373724894005,0.0530901236958969,0.506923970315997,0.807487181832086,0.36502255649032,0.80183886958792,0.377503211382001,0.98865112406118,0.809602678971181,0.986858345785388,0.549417405953083,0.0811515470405463,0.928756249884468,0.257565472871827,0.395303596385957,0.66044905427972,0.296903417911317,0.0646764497137919,0.415438610976702,0.714824125592803,0.00843361321012692,0.241625983207919,0.456631870263375,0.516953982983869,0.651371434551898,0.375492239078662,0.857502503971343,0.180152892810053,0.99749011368311,0.693412601560357,0.861768837224058,0.112983897580917,0.764985139684587,0.719262740254697,0.668375692290545,0.660646643499963,0.547514637999034,0.130127950229628,0.719289372540533,0.523835733767882,0.0867325485858585
10000,0.0446269311281148,0.0452296312354964,0.0470816095378611,0.0102310607142061,0.240774294638176,0.436685101746138,0.799097988773866,0.0657213473207459,0.431093560206415,0.692116935409423,0.979243097404042,0.0968016883002115,0.428495661177765,0.865260950639649,0.850214981340009,0.474762428009125,0.75695058254672,0.676499798519458,0.134816464191009,0.452845605005746,0.492753205654298,0.466186057338996,0.0625549668374616,0.154395590722945,0.44539443516286,0.344804258892704,0.659520632110869,0.770770684593079,0.238601909575998,0.848588476118564,0.469072105359209,0.785885457511801,0.936790986662949,0.160723723066642,0.395053365200466,0.428584423724896,0.956043202164208,0.409523467225661,0.497411812599551,0.780580913126411,0.113960444530763,0.877073975287014,0.813280293225574,0.590340008602655,0.2377133045251,0.246099386621151,0.0983430027354923,0.887383992196492,0.620470305146968,0.774507451354812,0.236273423172393,0.345384882383925,0.802401621686784,0.839990621261331,0.935459748781627,0.764980905160708,0.984588236629241,0.189710915938809,0.262503519784463,0.365628418614088,0.266928371554618,0.17647809175853,0.800310982353931,0.51297921477255,0.576070455063013,0.632676660506629,0.279468523002481,0.601316120227543,0.303707314441855,0.536290302959988,0.554598457500292,0.978558022899225,0.28251060799067,0.48723747335656,0.535764400126875,0.623299429218725,0.702091874970496,0.723551075250165,0.684197775140013,0.410659579430651,0.0333830496147061,0.581498671887743,0.212333457057524,0.328224978197119,0.30481934918889,0.770631704602346,0.0336396608683297,0.743108300495421,0.964197412386483,0.44936289140256,0.135251621429823,0.882970363650777,0.58911476767029,0.158716677727515,0.770198824953241,0.32604249023059,0.322452747741637,0.781229459348236,0.330802178267132,0.0295457020664007
