,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,snr_xz,sep,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.025,p_a=0.05,p_a=0.1
0,1000,0.5,1.0,2,250,real_weights,1,0.0,0.0625,False,475.9680480957031,0.9999999999999759,0.9793398077055782,0.04714571952819824,0.007145702838897705,0.0,0.0,0.01,0.04,0.1
33,1000,0.5,1.0,2,250,rulsif,1,0.0,0.0625,False,450.70257568359375,0.272835230584546,0.7886308322056397,0.06660675525665283,-0.024830371141433716,0.01,0.02,0.04,0.07,0.14
56,10000,0.5,1.0,2,250,real_weights,1,0.0,0.0625,False,4696.88037109375,0.9999999999999806,0.4132132830880816,0.08716575622558598,-0.02279442548751831,0.0,0.0,0.01,0.02,0.11
23,5000,0.5,1.0,2,250,real_weights,1,0.0,0.0625,False,2314.3310546875,0.999999999999678,0.39444174487796346,0.08846301555633546,-0.045908123254776,0.0,0.01,0.03,0.05,0.12
28,5000,0.5,1.0,2,250,real_weights,1,0.01,0.0625,False,2314.3310546875,0.999999999999678,0.2900609898063445,0.09660675525665285,-0.037165671586990356,0.02,0.03,0.06,0.1,0.16
44,1000,0.5,1.0,2,250,real_weights,1,0.01,0.0625,False,475.9680480957031,0.9999999999999759,0.17302246614660602,0.10894210815429684,-0.041596800088882446,0.0,0.01,0.04,0.06,0.14
88,1000,0.5,1.0,2,250,rulsif,1,0.01,0.0625,False,449.10546875,0.37186546689188416,0.06662642800442134,0.12866266727447512,-0.03892216086387634,0.0,0.02,0.07,0.09,0.2
27,5000,0.5,1.0,2,250,rulsif,1,0.0,0.0625,False,2218.59814453125,0.20831062304250686,0.0005373011932683207,0.20039918422698977,-0.09069854021072388,0.02,0.06,0.09,0.15,0.26
22,1000,0.5,1.0,2,250,random_uniform,1,0.0,0.0625,False,380.3450927734375,-0.022558634974979046,0.0004474328944620226,0.20261479377746583,-0.11700594425201416,0.03,0.07,0.11,0.15,0.21
61,10000,0.5,1.0,2,250,real_weights,1,0.01,0.0625,False,4696.88037109375,0.9999999999999806,0.0001639106840510407,0.21435131072998048,-0.1202394962310791,0.02,0.06,0.14,0.2,0.29
1,1000,0.5,1.0,2,250,real_TRE_Q,1,0.0,0.0625,False,458.87310791015625,-0.11450314732865195,9.276174539220823e-05,0.22071857929229732,-0.1409980058670044,0.0,0.06,0.1,0.17,0.26
11,1000,0.5,1.0,2,250,NCE_Q,1,0.0,0.0625,False,478.18902587890625,0.2501552863211053,3.4062822028962887e-06,0.25443109989166257,-0.13065871596336365,0.02,0.06,0.12,0.2,0.3
5,1000,0.5,1.0,2,250,rulsif,1,0.02,0.0625,False,453.38543701171875,0.360174255794238,1.794860647747805e-06,0.26043913841247557,-0.17053890228271484,0.05,0.08,0.16,0.23,0.27
6,1000,0.5,1.0,2,250,real_weights,1,0.03,0.0625,False,475.9680480957031,0.9999999999999759,2.3651025382534508e-07,0.2785429239273072,-0.1412774622440338,0.04,0.09,0.15,0.22,0.31
60,10000,0.5,1.0,2,250,rulsif,1,0.0,0.0625,False,4639.279296875,0.29801004174750084,1.0319528897559908e-08,0.3042714023590088,-0.15469062328338623,0.08,0.17,0.2,0.25,0.32
77,1000,0.5,1.0,2,250,random_uniform,1,0.01,0.0625,False,375.257080078125,-0.02539954671894908,4.5863184592029446e-09,0.3105588817596435,-0.1815967857837677,0.04,0.08,0.15,0.22,0.32
12,1000,0.5,1.0,2,250,real_weights,1,0.04,0.0625,False,475.9680480957031,0.9999999999999759,7.116630667957343e-12,0.3564072227478028,-0.2012374997138977,0.08,0.15,0.22,0.31,0.4
66,1000,0.5,1.0,2,250,NCE_Q,1,0.01,0.0625,False,442.5690612792969,0.35443528320708667,1.1215762812629326e-12,0.3683432722091675,-0.19620755314826965,0.04,0.11,0.22,0.27,0.4
