"n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1000,5.54289253522666e-57,3.33957988116136e-80,1.70567555578177e-39,1.28827150520414e-83,1.77483504624824e-97,9.51389042910161e-23,6.16243153501558e-71,1.0450931686426e-25,3.50340080283642e-24,3.42868407363715e-118,1.43273823573613e-45,4.96150696279828e-60,1.2081740052952e-76,1.8654029946167e-65,1.04240536779591e-82,6.35764872796929e-87,1.84320950862809e-93,1.5507413615457e-47,2.28790503552473e-114,7.07561671132903e-61,9.25714576787453e-53,9.90964152918288e-38,7.21568240050888e-102,1.81126740833575e-111,1.70962292704629e-55,1.79858136741964e-34,1.68283597722395e-55,4.48398630450588e-51,6.05217389576897e-46,8.9302397505083e-99,2.11031129057195e-34,5.05063451410386e-70,3.41824918867893e-14,1.75339386837425e-148,2.07124491769027e-28,3.92606553815707e-90,2.59659334441341e-102,3.21863609574547e-56,3.01930170668587e-54,7.09700122897794e-42,2.3098350211841e-77,8.59717270832734e-49,8.32193057863129e-55,3.95286703066625e-30,1.64139959600122e-73,1.91023626273249e-41,1.3118073211826e-103,6.08608309254632e-47,1.08186616545269e-37,8.51545115349412e-116,3.31578080842039e-07,5.71571005649056e-57,4.23696013564563e-74,4.89455671014676e-45,2.01812889385254e-79,6.32624468276402e-26,1.6197640959105e-63,1.57282275458976e-66,2.34799418670475e-36,1.19357310257084e-20,2.02088679467828e-45,2.91533340438254e-64,5.59969062762169e-92,2.28637633883444e-63,4.92581827523438e-143,2.66302236448e-65,8.56787220494176e-75,9.3523538804367e-55,7.58741112392816e-11,1.03678419644266e-35,4.92325884495952e-65,1.33188560190542e-52,1.72556235246708e-41,2.57643728186012e-47,5.95384931892901e-49,1.14341157809782e-109,2.56842045320713e-132,3.26509671891702e-70,6.27107591288905e-71,3.05976226505265e-50,5.82608837766623e-45,1.09993907353314e-104,3.72257734775826e-37,1.91862275264931e-62,4.19399188860402e-81,2.8944802709869e-25,6.9251436673545e-44,1.51745703885797e-34,1.75129623791681e-30,6.55971647153503e-47,1.33806534572339e-43,3.5194600267307e-24,6.96755143245916e-27,9.68785286023327e-49,4.69428539569427e-78,1.14473308590048e-100,3.53892777126018e-78,2.5927522431831e-63,3.29859480946678e-64,2.36264804058477e-40
5000,0,0,0,1.99972423801654e-256,0,1.36008924111151e-314,1.82383971168043e-225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22721453300039e-321,0,0,0,0,0,0,3.36737600655473e-294,5.54786313715136e-320,0,0,1.14800408160614e-308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26978989074785e-229,1.74046156923764e-257,7.06513873552983e-322,0,0,2.05475342303977e-288,0,2.81161910138756e-234,0,0,0,0,0,0,5.42950266053286e-247,0,0,0,0,0,0,0,0,0,1.11604519232811e-312,0,0,5.85270666077283e-255,0,0,0,7.66539356121433e-280,0,0,2.49346398717634e-267,0,0,4.67600179610162e-317,2.45849236449355e-301,8.11740634437268e-238,0,0,0,0,0,0
10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
