,perm,$/beta_{xz}$,$c_q$,# perm,vari,nce_style,d_Z,beta_xy,EFF w_q,KS pval,power_alpha=0.001,power_alpha=0.01,power_alpha=0.05,power_alpha=0.1
82,Y,0.1,1.0,250,1,NCE,3,0.25,9910.13,,,,,
83,Y,0.1,1.0,250,1,NCE,3,0.5,9910.13,,,,,
84,Y,0.0,1.0,250,1,NCE,3,0.001,10000.0,,,,,
85,Y,0.0,1.0,250,1,NCE,3,0.01,10000.0,,,,,
86,Y,0.0,1.0,250,1,NCE,3,0.1,10000.0,,,,,
88,Y,0.0,1.0,250,1,NCE,3,0.25,10000.0,,,,,
115,Y,0.01,1.0,250,1,NCE,50,0.001,9991.71,,,,,
116,Y,0.01,1.0,250,1,NCE,50,0.01,9991.71,,,,,
117,Y,0.01,1.0,250,1,NCE,50,0.1,9991.71,,,,,
119,Y,0.01,1.0,250,1,NCE,50,0.25,9991.71,,,,,
120,Y,0.01,1.0,250,1,NCE,50,0.5,9991.71,,,,,
121,Y,0.1,1.0,250,1,NCE,50,0.001,9150.43,,,,,
122,Y,0.1,1.0,250,1,NCE,50,0.01,9150.43,,,,,
123,Y,0.1,1.0,250,1,NCE,50,0.1,9150.43,,,,,
125,Y,0.1,1.0,250,1,NCE,50,0.25,9150.43,,,,,
126,Y,0.1,1.0,250,1,NCE,50,0.5,9150.43,,,,,
127,Y,0.0,1.0,250,1,NCE,50,0.001,10000.0,,,,,
128,Y,0.0,1.0,250,1,NCE,50,0.01,10000.0,,,,,
129,Y,0.0,1.0,250,1,NCE,50,0.1,10000.0,,,,,
131,Y,0.0,1.0,250,1,NCE,50,0.25,10000.0,,,,,
132,Y,0.0,1.0,250,1,NCE,50,0.5,10000.0,,,,,
