,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,snr_xz,sep,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.025,p_a=0.05,p_a=0.1
85,10000,0.75,1.0,2,250,real_TRE_Q,1,0.05,0.140625,False,3310.260498046875,0.1639739712105103,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
83,10000,0.75,1.0,2,250,rulsif,1,0.04,0.140625,False,4686.69287109375,0.23279983184470204,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
82,10000,0.75,1.0,2,250,random_uniform,1,0.04,0.140625,False,3737.873046875,-0.0036923616965807184,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
81,10000,0.75,1.0,2,250,NCE_Q,1,0.04,0.140625,False,3898.55810546875,0.18250216432773178,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
43,5000,0.75,1.0,2,250,random_uniform,1,0.03,0.140625,False,1860.31689453125,0.009122928060182046,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
55,5000,0.75,1.0,2,250,rulsif,1,0.05,0.140625,False,2230.133056640625,0.15875500638104784,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
47,5000,0.75,1.0,2,250,real_TRE_Q,1,0.04,0.140625,False,1532.155517578125,0.10005345490996467,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
76,10000,0.75,1.0,2,250,random_uniform,1,0.03,0.140625,False,3777.948974609375,-0.02045462815493006,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
49,5000,0.75,1.0,2,250,random_uniform,1,0.04,0.140625,False,1865.0625,-0.007493119113991476,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
74,10000,0.75,1.0,2,250,real_TRE_Q,1,0.03,0.140625,False,3932.156494140625,0.16637983578166352,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
53,5000,0.75,1.0,2,250,NCE_Q,1,0.05,0.140625,False,2061.071533203125,0.23534483622237878,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
71,10000,0.75,1.0,2,250,random_uniform,1,0.02,0.140625,False,3731.173095703125,-0.002047441497165908,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
54,5000,0.75,1.0,2,250,random_uniform,1,0.05,0.140625,False,1864.33642578125,0.04448792410186879,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
52,5000,0.75,1.0,2,250,real_TRE_Q,1,0.05,0.140625,False,1734.0555419921875,0.05034670740556503,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
