,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,snr_xz,sep,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.025,p_a=0.05,p_a=0.1
4,1000,0.75,1.0,2,250,NCE_Q,1,0.02,0.140625,False,429.19024658203125,-0.21919919357088066,1.377820861526851e-57,0.7442714023590088,-0.4143712520599365,0.27,0.39,0.56,0.68,0.83
73,10000,0.75,1.0,2,250,real_weights,1,0.03,0.140625,False,4241.05419921875,0.999999999999992,6.097633579415042e-62,0.7661277818679809,-0.43828343227505684,0.46,0.62,0.72,0.8,0.84
46,5000,0.75,1.0,2,250,real_weights,1,0.04,0.140625,False,2004.71533203125,0.9999999999999934,6.610581100228637e-65,0.7801197433471679,-0.4391217604279518,0.46,0.66,0.78,0.82,0.87
22,1000,0.75,1.0,2,250,rulsif,1,0.05,0.140625,False,452.2032165527344,0.24534540043993372,6.610581100228637e-65,0.7801197433471679,-0.4500199593603611,0.41,0.63,0.73,0.8,0.85
25,5000,0.75,1.0,2,250,real_TRE_Q,1,0.0,0.140625,False,2234.285400390625,0.11109335617914459,2.9735127287237973e-66,0.786247525215149,-0.4493812471628189,0.61,0.76,0.8,0.81,0.88
9,1000,0.75,1.0,2,250,NCE_Q,1,0.03,0.140625,False,485.9259948730469,0.12662065439003423,2.284460422544966e-70,0.8041118240356445,-0.44231537729501724,0.41,0.64,0.76,0.84,0.88
8,1000,0.75,1.0,2,250,real_TRE_Q,1,0.03,0.140625,False,450.06097412109375,-0.2350024262022961,8.317436705537886e-73,0.8141118240356445,-0.461636733263731,0.37,0.57,0.72,0.84,0.9
39,5000,0.75,1.0,2,250,rulsif,1,0.02,0.140625,False,2151.763916015625,0.1624742218076512,2.1371227535453952e-76,0.8280638313293457,-0.47417166270315647,0.64,0.76,0.83,0.86,0.9
27,5000,0.75,1.0,2,250,random_uniform,1,0.0,0.140625,False,1902.184326171875,0.027158877866664648,7.46661310864871e-81,0.8441516590118409,-0.4716167692095041,0.62,0.74,0.85,0.88,0.93
14,1000,0.75,1.0,2,250,real_TRE_Q,1,0.04,0.140625,False,406.41943359375,0.1618133104868533,5.228344483999683e-82,0.8481037855148316,-0.47632735781371593,0.59,0.72,0.85,0.88,0.91
16,1000,0.75,1.0,2,250,random_uniform,1,0.04,0.140625,False,366.4305725097656,0.0765589832388174,1.0313492038684042e-85,0.8601996517181396,-0.4748103879392147,0.53,0.71,0.8,0.85,0.96
66,10000,0.75,1.0,2,250,rulsif,1,0.01,0.140625,False,4647.7578125,0.19924340465702922,2.5532614608160498e-86,0.8620957469940186,-0.46870259940624237,0.7,0.81,0.87,0.91,0.92
15,1000,0.75,1.0,2,250,NCE_Q,1,0.04,0.140625,False,475.0904235839844,-0.17512091958236042,9.188894774537079e-92,0.8781037855148316,-0.4822754580527544,0.58,0.8,0.89,0.9,0.95
51,5000,0.75,1.0,2,250,real_weights,1,0.05,0.140625,False,2004.71533203125,0.9999999999999934,5.789802665069777e-94,0.8840718698501587,-0.4850299432873726,0.75,0.87,0.9,0.92,0.95
21,1000,0.75,1.0,2,250,random_uniform,1,0.05,0.140625,False,383.2424011230469,-0.04334041707562033,1.580795845690635e-95,0.8881437397003173,-0.4894610829651356,0.69,0.84,0.89,0.92,0.97
26,5000,0.75,1.0,2,250,NCE_Q,1,0.0,0.140625,False,2464.357177734375,0.06147250766799866,4.2479250887076437e-97,0.8920957469940185,-0.4743313416838646,0.65,0.79,0.88,0.94,0.95
