"n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1000,2.33146835171283e-15,2.88657986402541e-15,0,0,1.22124532708767e-15,0.188828794748194,1.11022302462516e-16,0,5.10702591327572e-15,3.82545106702992e-11,2.22044604925031e-16,2.55351295663786e-15,0,0,2.41695552460897e-13,0.000463917085427923,6.42094508007673e-07,0,0,0.0187202290457015,0,0,7.7715611723761e-16,3.33066907387547e-16,0,7.7715611723761e-16,0,3.745609378214e-09,1.33387332901247e-06,2.32175922931788e-09,1.4432899320127e-15,1.11022302462516e-15,0,1.11022302462516e-16,0.0293614486007414,0,0,5.55111512312578e-16,0,9.381388723817e-05,0,1.55431223447522e-15,0,0,1.11022302462516e-15,1.4432899320127e-15,0,8.15453278635303e-06,3.33066907387547e-16,3.5527136788005e-15,6.59976288841513e-07,4.47241355061578e-10,3.84214457371801e-05,1.33226762955019e-15,5.99520433297585e-15,1.42163059102529e-10,1.11022302462516e-16,0,9.99200722162641e-16,0.288423235452856,0,0,1.22124532708767e-15,8.88178419700125e-16,4.44089209850063e-16,2.69451128076525e-12,3.44169137633799e-15,5.55111512312578e-16,1.11022302462516e-16,7.7715611723761e-16,0,1.66533453693773e-15,1.33226762955019e-15,0,0,0,3.86890519621375e-12,5.55111512312578e-16,0,0,1.74716886180981e-07,6.21724893790088e-15,2.08388861722142e-13,0,9.5108969588864e-09,0.148381530017019,1.11022302462516e-15,0,2.40474307133809e-13,2.02192707021709e-10,2.22044604925031e-16,6.45395049447828e-06,0,0,8.88178419700125e-15,3.57359175584548e-09,4.44089209850063e-16,7.88258347483861e-15,0.00136165677551103,1.4432899320127e-15
5000,1.55431223447522e-15,0,0,1.33226762955019e-15,0,1.99840144432528e-15,0,2.22044604925031e-16,0,5.99520433297585e-15,2.22044604925031e-16,4.44089209850063e-16,0,2.22044604925031e-16,3.33066907387547e-16,6.99440505513849e-15,0,2.44249065417534e-15,0,1.88737914186277e-15,0,5.55111512312578e-16,3.33066907387547e-16,2.77555756156289e-15,0,0,0,1.33226762955019e-15,1.77635683940025e-15,0,2.88657986402541e-15,3.33066907387547e-16,0,0,0,7.7715611723761e-16,0,0,1.11022302462516e-15,1.11022302462516e-15,1.66533453693773e-15,0,0,0,0,4.44089209850063e-16,2.99760216648792e-15,7.7715611723761e-16,0,6.66133814775094e-16,5.6621374255883e-15,9.99200722162641e-16,0,0,2.1094237467878e-15,0,0,4.44089209850063e-16,1.88737914186277e-15,1.33226762955019e-15,6.66133814775094e-16,0,0,0,0,0,1.4432899320127e-15,0,1.11022302462516e-15,0,4.44089209850063e-16,2.1094237467878e-15,0,0,0,0,5.55111512312578e-16,2.22044604925031e-16,0,0,2.22044604925031e-16,1.88737914186277e-15,1.4432899320127e-15,3.2689530893304e-07,7.7715611723761e-16,2.1094237467878e-15,0,0,0,4.0482896404237e-05,4.44089209850063e-16,0,9.99200722162641e-16,0,0,0,2.22044604925031e-15,0,1.33226762955019e-15,0
10000,2.66453525910038e-15,0,2.22044604925031e-16,1.11022302462516e-16,0,0,8.88178419700125e-16,8.88178419700125e-16,0,0,1.11022302462516e-16,3.33066907387547e-16,0,0,0,0,0,9.99200722162641e-16,0,0,3.33066907387547e-16,1.99840144432528e-15,3.33066907387547e-16,1.66533453693773e-15,0,1.11022302462516e-15,0,3.33066907387547e-16,0,7.7715611723761e-16,0,0,1.33226762955019e-15,1.4432899320127e-15,1.22124532708767e-15,2.66453525910038e-15,2.22044604925031e-16,0,0,0,0,0.00173539326667582,4.44089209850063e-16,0,0,0,0,8.88178419700125e-16,0,0,1.11022302462516e-15,0,0,0,1.22124532708767e-15,0,0,0,2.22044604925031e-16,5.55111512312578e-16,8.88178419700125e-16,7.7715611723761e-16,2.22044604925031e-16,0,3.44169137633799e-15,2.22044604925031e-16,0,1.22124532708767e-15,1.33226762955019e-15,3.33066907387547e-16,0,0,0,5.55111512312578e-16,0,1.11022302462516e-15,0,0,0,2.22044604925031e-16,1.11022302462516e-15,0,0,5.55111512312578e-16,2.22044604925031e-16,1.4432899320127e-15,2.22044604925031e-16,4.44089209850063e-16,0,1.4432899320127e-15,0,5.55111512312578e-16,1.11022302462516e-16,0,2.1094237467878e-15,1.11022302462516e-15,1.88737914186277e-15,0,0,5.55111512312578e-16
